Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2004
Dal Cero,Amarone,3.0,50-54,0.39,01,sv,sv,sv,3,sv,3,sv,3,sv,sv,sv,sv,sv,sv
David Sterza,Amarone Classico,5.0,30-34,2.31,05,sv,5,5,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Falezze,Amarone,5.0,100-124,1.15,01,sv,sv,sv,5,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Farina,Amarone Classico,3.0,20-24,0.13,00,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Farina,Amarone Classico Famiglia Farina,3.0,40-44,0.13,00,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Farina,Amarone Classico Riserva Mezzadro alla Fontana,5.0,125-149,1.15,01,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv,sv,sv,sv
Farina,Amarone Riserva Montefante,3.0,45-49,0.13,00,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Fattori,Amarone,3.0,60-64,0.52,01,sv,sv,sv,3,sv,3,3,3,sv,sv,sv,sv,sv,sv
Fattori,Amarone Col de la Bastia,3.0,40-44,0.65,01,sv,3,3,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Fattori,Amarone Riserva,4.0,60-64,0.77,01,sv,sv,4,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gamba,Amarone Classico Campedel,3.5,55-59,1.04,01,sv,sv,4,3,sv,3,4,sv,sv,sv,sv,sv,sv,sv
Gamba,Amarone Classico Le Quare,3.2,35-39,0.91,02,sv,sv,3,3,3,3,4,sv,sv,sv,sv,sv,sv,sv
Gamba,Amarone Classico Riserva Campedel,4.3,100-124,2.82,02,sv,sv,sv,5,sv,sv,3,4,5,sv,sv,sv,sv,sv
Garbole,Amarone Riserva Hatteso,4.7,100-124,2.69,02,sv,sv,sv,sv,sv,sv,sv,4,5,5,sv,sv,sv,sv
Gini,Amarone Riserva Scajari,4.0,90-94,0.39,00,sv,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv
Gino Fasoli,Amarone Alteo,4.0,75-79,1.67,01,sv,sv,sv,3,sv,sv,5,4,sv,sv,sv,sv,sv,sv
Giuseppe Campagnola,Amarone Classico Vigneti Vallata Di Marano,3.0,30-34,0.13,00,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Giusti Wine,Amarone Classico,3.5,100-124,1.04,01,sv,sv,3,sv,3,4,4,sv,sv,sv,sv,sv,sv,sv
Graziano Pra,Amarone,3.2,55-59,0.91,01,sv,sv,sv,3,sv,3,3,3,4,sv,sv,sv,sv,sv
Guerrieri Rizzardi,Amarone Classico Calcarole,3.7,85-89,0.91,01,sv,sv,sv,4,sv,3,sv,4,sv,sv,sv,sv,sv,sv
Guerrieri Rizzardi,Amarone Classico Villa Rizzardi,3.0,50-54,0.13,00,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
I Campi,Amarone Campi Lunghi,3.5,45-49,1.04,01,sv,3,4,4,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
I Campi,Amarone Campo Marna Cinquecento,4.5,150-174,1.54,01,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,5,4,sv
Ilatium Morini,Amarone Campo Leon,3.8,45-49,1.80,03,sv,sv,sv,3,3,4,5,sv,sv,sv,sv,sv,sv,sv
Ilatium Morini,Amarone Riserva Due Mori,4.0,100-124,0.39,00,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
La Collina Dei Ciliegi,Amarone,4.0,50-54,0.39,00,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
La Dama,Amarone Classico,4.0,40-44,0.77,01,sv,4,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Le Guaite ,Amarone,4.0,55-59,0.77,01,sv,sv,sv,sv,sv,sv,sv,sv,sv,4,4,sv,sv,sv
Le Marognole,Amarone Classico Camporocco,3.0,35-39,0.39,01,sv,sv,3,3,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Le Ragose,Amarone Classico,3.7,40-44,1.42,02,sv,sv,sv,sv,sv,sv,sv,sv,5,3,3,sv,sv,sv
Le Ragose,Amarone Classico Caloetto,4.0,45-49,1.67,02,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,4,3,sv,sv
Le Ragose,Amarone Classico Marta Galli,4.0,45-49,0.39,01,sv,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv
Le Salette,Amarone Classico La Marega,3.3,30-34,0.65,01,sv,sv,3,4,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Le Salette,Amarone Classico Pergole Vece,4.5,55-59,1.54,02,sv,sv,4,5,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Luigi Maule,Amarone Classico Riserva,3.0,25-29,0.13,00,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,3,sv,sv
Manara,Amarone Classico Corte Manara,3.0,25-29,0.52,01,sv,sv,3,3,sv,3,sv,3,sv,sv,sv,sv,sv,sv
Manara,Amarone Classico Postera,3.6,35-39,1.42,03,sv,sv,sv,3,3,4,4,sv,4,sv,sv,sv,sv,sv
Marco Mosconi,Amarone,4.5,55-59,1.54,02,sv,sv,sv,5,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Masi,Amarone Classico Campolongo Di Torbe,4.0,125-149,1.67,01,sv,sv,sv,sv,sv,5,3,4,sv,sv,sv,sv,sv,sv
Masi,Amarone Classico Costasera,3.0,40-44,0.26,00,sv,sv,3,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Masi,Amarone Classico Mazzano,4.3,125-149,1.93,01,sv,sv,sv,sv,sv,sv,5,4,sv,4,sv,sv,sv,sv
Masi,Amarone Classico Riserva Costasera,3.5,65-69,1.04,01,sv,sv,sv,3,sv,3,4,4,sv,sv,sv,sv,sv,sv
Masi,Amarone Classico Vaio Armaron,3.3,70-74,0.65,01,sv,sv,sv,sv,sv,3,4,3,sv,sv,sv,sv,sv,sv
Massimago,Amarone,4.0,70-74,0.39,00,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Mizzon,Amarone Classico,5.0,45-49,1.15,02,sv,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv,sv
Monte Cillario,Amarone Casa Erbisti,3.0,40-44,0.13,00,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Monte Cillario,Amarone Riserva Rinaldo Marchesini,4.0,55-59,0.39,00,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Monte Del Fra,Amarone Classico Riserva Scarnocchio,3.7,75-79,0.91,01,sv,sv,4,4,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Monte Del Fra,Amarone Classico Tenuta Lena di Mezzo,3.0,45-49,0.52,01,sv,3,3,3,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
