Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Castello Di Radda,Chianti Classico,3.2,10-14,15,33,sv,4,3,3,3,3,sv,sv,sv,sv,sv
Castello Di Radda,Chianti Classico Gran Selezione Il Corno,3.7,35-39,26,19,sv,sv,sv,sv,sv,5,4,2,sv,sv,sv
Castello Di Volpaia,Chianti Classico Gran Selezione Coltassala,4.3,40-44,63,40,sv,sv,4,5,4,4,sv,5,4,sv,sv
Castello Di Volpaia,Chianti Classico Gran Selezione Il Puro Vigneto Casanova,4.0,80-84,48,16,sv,sv,sv,3,3,5,sv,4,5,sv,sv
Castello Di Volpaia,Chianti Classico Riserva Castello Di Volpaia,3.0,25-29,16,16,sv,sv,3,3,3,3,4,2,sv,sv,sv
Castello Di Volpaia,Chianti Classico Volpaia,2.3,15-19,7,11,sv,3,2,2,2,3,2,sv,sv,sv,sv
Castello La Leccia,Chianti Classico Riserva,3.4,25-29,27,27,sv,sv,3,sv,5,3,3,sv,3,sv,sv
Castello La Leccia,Chianti Classico Gran Selezione Bruciagna,3.0,40-44,6,4,sv,sv,3,sv,sv,3,sv,3,sv,sv,sv
Castello La Leccia,Chianti Classico,2.6,15-19,8,12,sv,3,sv,3,2,2,sv,3,sv,sv,sv
Castello Vicchiomaggio,Chianti Classico Gran Selezione La Prima,4.0,40-44,46,30,sv,sv,sv,4,4,4,5,4,3,sv,sv
Castello Vicchiomaggio,Chianti Classico Riserva Agostino Petri,2.8,25-29,11,11,sv,sv,3,3,3,3,sv,3,2,sv,sv
Castello Vicchiomaggio,Chianti Classico Guado Alto,2.5,15-19,6,9,sv,3,3,2,2,sv,sv,sv,sv,sv,sv
Castello Vicchiomaggio,Chianti Classico San Jacopo,2.7,15-19,5,8,sv,sv,sv,3,sv,3,2,sv,sv,sv,sv
Castello Vicchiomaggio,Chianti Classico Gran Selezione Le Bolle,4.0,85-89,6,2,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Cecchi,Chianti Classico Gran Selezione Villa Rosa,4.8,40-44,63,40,sv,sv,4,5,5,5,sv,sv,sv,sv,sv
Cecchi,Chianti Classico Riserva Villa Cerna,2.8,30-34,11,10,sv,sv,3,3,3,2,3,3,sv,sv,sv
Cecchi,Chianti Classico Villa Rosa Ribaldoni,2.0,25-29,1,1,sv,sv,sv,2,2,sv,sv,sv,sv,sv,sv
Cecchi,Chianti Classico Villa Cerna Primocolle,2.5,15-19,3,5,sv,sv,sv,sv,sv,3,2,sv,sv,sv,sv
Cecchi,Chianti Classico Riserva Di Famiglia,3.0,25-29,2,2,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Cinciano,Chianti Classico Gran Selezione,4.0,25-29,6,6,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Cinciano,Chianti Classico Riserva,3.0,15-19,2,3,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Cinciano,Chianti Classico,3.0,10-14,2,5,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Cinciano,Chianti Classico Riserva Camponi,3.0,20-24,2,3,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Dievole,Chianti Classico Riserva Novecento,2.8,25-29,9,9,sv,sv,3,sv,3,3,3,2,sv,sv,sv
Dievole,Chianti Classico Dievole,3.0,10-14,9,19,sv,sv,3,sv,3,3,3,sv,sv,sv,sv
Dievole,Chianti Classico Gran Selezione Vigna Di Sessina,3.0,40-44,6,4,sv,sv,sv,sv,3,3,sv,sv,sv,3,sv
Fattorie Casaloste,Chianti Classico Gran Selezione,3.0,40-44,9,6,sv,sv,sv,sv,4,2,sv,sv,sv,3,sv
Fattorie Casaloste,Chianti Classico Riserva,2.8,30-34,7,6,sv,sv,sv,3,3,2,sv,sv,sv,3,sv
Fattorie Casaloste,Chianti Classico,2.2,20-24,5,6,sv,sv,3,2,2,2,2,sv,sv,sv,sv
Fattorie Casaloste,Chianti Classico Gran Selezione Don Vincenzo,3.0,60-64,4,2,sv,sv,sv,sv,sv,3,sv,3,sv,sv,sv
Fattoria della Aiola,Chianti Classico Riserva,3.0,15-19,4,7,sv,sv,sv,3,sv,3,sv,sv,sv,sv,sv
Fattoria della Aiola,Chianti Classico Gran Selezione Cancello Rosso,3.0,25-29,2,2,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Fattoria della Aiola,Chianti Classico,2.0,10-14,1,3,sv,sv,2,sv,2,sv,sv,sv,sv,sv,sv
Felsina,Chianti Classico Gran Selezione Colonia,4.5,85-89,50,16,sv,sv,5,4,sv,sv,sv,4,sv,5,sv
Felsina,Chianti Classico Riserva Rancia,3.6,30-34,31,27,sv,sv,4,3,3,5,3,sv,sv,sv,sv
Felsina,Chianti Classico Riserva Berardenga,2.6,20-24,8,10,sv,sv,2,3,3,3,sv,2,sv,sv,sv
Felsina,Chianti Classico Berardenga,2.6,15-19,8,12,sv,sv,2,3,3,3,2,sv,sv,sv,sv
Fontodi,Chianti Classico Gran Selezione Vigna Del Sorbo,4.5,60-64,83,36,sv,sv,5,5,5,3,5,4,sv,sv,sv
Fontodi,Chianti Classico,2.8,25-29,11,11,sv,sv,3,3,2,3,3,3,sv,sv,sv
Fontodi,Chianti Classico Filetta di Lamole,3.2,25-29,15,15,sv,sv,3,3,3,4,3,sv,sv,sv,sv
Gagliole,Chianti Classico Gran Selezione Gallule,3.0,60-64,2,1,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Gagliole,Chianti Classico Riserva,3.0,30-34,2,2,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Gagliole,Chianti Classico Rubiolo,2.5,15-19,9,14,sv,2,2,3,3,3,2,sv,sv,sv,sv
Geografico,Chianti Classico Riserva Contessa Di Radda,2.7,15-19,5,8,sv,sv,3,3,sv,sv,sv,2,sv,sv,sv
Geografico,Chianti Classico Riserva Montegiachi,2.7,15-19,5,8,sv,sv,3,sv,3,sv,sv,2,sv,sv,sv
Geografico,Chianti Classico Contessa Di Radda,2.0,10-14,2,5,sv,2,2,sv,sv,sv,2,sv,sv,sv,sv
I Sodi,Chianti Classico Riserva,3.2,20-24,15,18,sv,sv,sv,3,3,4,3,3,sv,sv,sv
I Sodi,Chianti Classico,2.6,10-14,8,18,sv,sv,3,3,2,3,2,sv,sv,sv,sv
Il Molino di Grace,Chianti Classico Gran Selezione Il Margone,3.6,35-39,31,23,sv,sv,3,sv,4,3,sv,5,3,sv,sv
Il Molino di Grace,Chianti Classico Riserva,2.8,25-29,9,9,sv,sv,3,3,3,3,2,sv,sv,sv,sv
Il Molino di Grace,Chianti Classico,2.0,15-19,1,2,sv,sv,2,sv,sv,2,sv,sv,sv,sv,sv
Il Molino di Grace,Chianti Classico Solosangiovese,2.0,10-14,1,2,sv,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Isole e Olena,Chianti Classico,2.8,20-24,9,11,sv,sv,3,3,3,3,2,sv,sv,sv,sv
Istine,Chianti Classico Vigna Istine,2.7,30-34,24,20,sv,5,3,2,2,2,2,sv,sv,sv,sv
Istine,Chianti Classico Vigna Casanova dell'Aia,2.5,30-34,6,5,sv,3,3,2,sv,2,sv,sv,sv,sv,sv
Istine,Chianti Classico Vigna Cavarchione,3.2,30-34,20,17,sv,4,4,3,3,3,2,sv,sv,sv,sv
Istine,Chianti Classico,2.8,15-19,14,23,sv,3,4,3,2,3,2,sv,sv,sv,sv
Istine,Chianti Classico Riserva Levigne,3.8,35-39,36,26,sv,sv,sv,5,4,4,3,3,sv,sv,sv
La Sala Del Torriano,Chianti Classico Gran Selezione Il Torriano,4.0,45-49,6,4,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
La Sala Del Torriano,Chianti Classico Riserva,4.0,25-29,6,6,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
La Sala Del Torriano,Chianti Classico,2.0,15-19,1,1,sv,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Gran Selezione Vigna Grospoli,4.0,45-49,13,7,sv,sv,4,sv,sv,sv,sv,4,sv,sv,sv
Lamole Di Lamole,Chianti Classico Gran Selezione Vigneto Di Campolungo,3.0,35-39,4,3,sv,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Riserva Lareale,3.0,25-29,2,2,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Duelame,2.0,15-19,1,1,sv,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Maggiolo,2.0,15-19,1,1,sv,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Riserva,4.0,25-29,6,6,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Etichetta Blu,2.0,15-19,1,1,sv,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico,2.0,10-14,1,2,sv,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Castello Di Lamole Le Stinche,3.0,15-19,4,7,sv,sv,sv,sv,sv,sv,sv,3,3,sv,sv
Lamole Di Lamole,Chianti Classico Riserva Castello Di Lamole,3.0,25-29,2,2,sv,sv,sv,sv,sv,sv,sv,sv,3,sv,sv
Lamole Di Lamole,Chianti Classico Gran Selezione Lama Della Villa,4.0,60-64,6,3,sv,sv,sv,sv,sv,sv,sv,sv,4,sv,sv
Le Cinciole,Chianti Classico Gran Selezione Aluigi,3.4,35-39,19,14,sv,sv,sv,sv,4,3,3,3,4,sv,sv
Le Cinciole,Chianti Classico Le Cinciole,2.2,15-19,6,9,sv,sv,2,2,3,2,2,2,sv,sv,sv
Le Filigare,Chianti Classico Riserva Maria Vittoria,3.2,20-24,15,18,sv,sv,3,3,3,sv,sv,4,sv,3,sv
Le Filigare,Chianti Classico Le Filigare,2.0,10-14,4,8,sv,2,2,2,sv,2,2,sv,sv,sv,sv
Le Filigare,Chianti Classico Gran Selezione Lorenzo,3.0,25-29,2,2,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Le Filigare,Chianti Classico Lorenzo,1.7,25-29,1,1,sv,sv,sv,sv,sv,2,2,1,sv,sv,sv
Lornano,Chianti Classico Gran Selezione,4.0,45-49,27,16,sv,sv,sv,sv,4,5,sv,sv,3,sv,sv
Lornano,Chianti Classico Lornano,3.0,15-19,9,14,sv,sv,3,3,3,sv,sv,3,sv,sv,sv
Lornano,Chianti Classico Riserva Le Bandite,4.0,20-24,40,49,sv,sv,sv,3,5,4,sv,4,4,sv,sv
Lornano,Chianti Classico Riserva,2.0,20-24,1,1,sv,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Losi Querciavalle,Chianti Classico Gran Selezione Losi Millennium,3.3,25-29,13,13,sv,sv,sv,sv,sv,sv,sv,3,3,4,3
Losi Querciavalle,Chianti Classico Querciavalle,2.8,10-14,9,21,sv,sv,sv,3,3,3,sv,3,2,sv,sv
Losi Querciavalle,Chianti Classico Riserva Querciavalle,3.8,20-24,44,54,sv,sv,sv,sv,3,5,sv,5,3,3,sv
Marchesi Antinori,Chianti Classico Gran Selezione Badia a Passignano,3.7,35-39,29,22,sv,sv,3,4,4,4,sv,sv,4,3,sv
