Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Panizzi,Chianti Colli Senesi Riserva Vertunno,2.0,10-14,4,8,sv,sv,sv,sv,2,2,2,2,2,sv,sv
Poggio Bonelli,Chianti Colli Senesi,2.3,5-9,4,14,sv,sv,2,3,2,sv,sv,sv,sv,sv,sv
Poggio Bonelli,Chianti Villa Chigi,2.0,5-9,3,11,sv,2,2,sv,2,2,sv,sv,sv,sv,sv
Poggiotondo,Chianti Le Rancole,2.4,15-19,6,10,sv,sv,2,2,3,3,2,sv,sv,sv,sv
Ruffino,Chianti Biologico,2.0,5-9,1,3,sv,sv,2,sv,sv,sv,sv,sv,sv,sv,sv
Ruffino,Chianti Nuovo Fiasco,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Salcheto,Chianti Biskero,2.0,5-9,1,3,2,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Salcheto,Chianti Colli Senesi,3.0,5-9,2,8,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
San Benedetto,Chianti Colli Senesi,2.0,10-14,1,2,sv,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
San Benedetto,Chianti Riserva,2.5,20-24,6,7,sv,sv,sv,sv,3,2,sv,3,2,sv,sv
San Benedetto,Chianti,1.3,15-19,1,1,sv,sv,sv,1,2,sv,1,sv,sv,sv,sv
Sensi,Chianti Riserva Vinciano,2.0,15-19,2,3,sv,sv,2,2,2,sv,sv,sv,sv,sv,sv
Sensi,Chianti Riserva Dal Campo,2.0,5-9,2,8,sv,sv,2,2,2,sv,sv,sv,sv,sv,sv
Sensi,Chianti Vinciano,1.7,10-14,1,3,sv,2,2,sv,1,sv,sv,sv,sv,sv,sv
Sensi,Chianti Superiore Vegante Biologico,1.5,5-9,1,3,sv,sv,1,2,sv,sv,sv,sv,sv,sv,sv
Sensi,Chianti Campoluce,2.0,5-9,1,6,sv,sv,2,sv,2,sv,sv,sv,sv,sv,sv
Tenuta Canto Alla Moraia,Chianti Bacco Felice,2.0,20-24,1,2,sv,2,2,sv,sv,sv,sv,sv,sv,sv,sv
Tenuta Di Artimino,Chianti Montalbano,2.0,10-14,3,7,sv,2,2,2,2,sv,sv,sv,sv,sv,sv
Tenuta Di Colle Alberti,Chianti,1.0,5-9,1,2,1,1,sv,sv,sv,sv,sv,sv,sv,sv,sv
Tenuta Di Colle Alberti,Chianti Governo All’Uso Toscano,2.0,10-14,1,2,sv,sv,2,sv,sv,sv,sv,sv,sv,sv,sv
Tenuta Di Trecciano,Chianti Colli Senesi Riserva Terra Rossa,3.0,15-19,13,20,sv,sv,3,3,3,3,3,3,sv,sv,sv
Tenuta Di Trecciano,Chianti Colli Senesi,2.0,10-14,4,10,2,2,2,2,2,2,sv,sv,sv,sv,sv
Tenuta San Jacopo,Chianti Riserva Poggio Ai Grilli,2.0,15-19,1,1,sv,sv,2,sv,sv,sv,sv,sv,sv,sv,sv
Tenute San Fabiano,Chianti Superiore Etichetta Nera,1.8,10-14,3,7,sv,2,2,2,sv,2,1,sv,sv,sv,sv
Tenute San Fabiano,Chianti Putto San Fabiano,1.6,5-9,2,9,sv,2,2,2,1,1,sv,sv,sv,sv,sv
Tenute San Fabiano,Chianti Riserva San Fabiano,2.0,10-14,3,7,sv,sv,2,sv,2,2,2,sv,sv,sv,sv
Uggiano,Chianti Riserva,2.0,15-19,1,2,sv,sv,2,2,sv,sv,sv,sv,sv,sv,sv
Vagnoni,Chianti Colli Senesi,1.8,5-9,3,11,sv,2,2,2,2,sv,1,sv,sv,sv,sv
Vagnoni,Chianti Colli Senesi Riserva Capanneto,2.0,15-19,1,2,sv,sv,sv,2,sv,2,sv,sv,sv,sv,sv
Villa Poggio Salvi,Chianti Colli Senesi Caspagnolo,2.0,10-14,4,8,2,2,sv,2,2,2,sv,sv,sv,sv,sv
Villa Saletta,Chianti Superiore,2.0,10-14,1,2,sv,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Villa Sant’Anna,Chianti Colli Senesi,2.3,5-9,4,17,sv,3,sv,2,sv,2,sv,2,sv,sv,sv
