Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Poggio Alla Sala,Vino Nobile Di Montepulciano Riserva,3.0,20-24,5,6,sv,sv,sv,sv,sv,3,3,sv,sv,sv
Poliziano,Vino Nobile Di Montepulciano Asinone,4.5,45-49,89,51,5,5,5,5,4,3,sv,sv,sv,sv
Poliziano,Vino Nobile Di Montepulciano,2.8,25-29,12,12,3,3,3,3,3,2,sv,sv,sv,sv
Poliziano,Vino Nobile Di Montepulciano Caggiole,3.0,85-89,5,1,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Romeo,Vino Nobile Di Montepulciano,3.0,15-19,5,7,sv,sv,sv,3,sv,3,sv,sv,sv,sv
Romeo,Vino Nobile Di Montepulciano Lipitresco,4.0,30-34,13,11,sv,sv,sv,sv,sv,sv,4,4,sv,sv
Romeo,Vino Nobile Di Montepulciano Riserva Dei Mandorli,3.0,25-29,2,2,sv,sv,sv,sv,sv,sv,sv,3,sv,sv
Salcheto,Vino Nobile Di Montepulciano Salco,3.0,35-39,7,5,sv,sv,3,3,sv,3,sv,sv,sv,sv
Salcheto,Vino Nobile Di Montepulciano Vecchie Viti Del Salco,3.0,60-64,2,1,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Salcheto,Vino Nobile Di Montepulciano,2.0,15-19,2,2,2,sv,sv,sv,2,sv,sv,sv,sv,sv
Salcheto,Vino Nobile Di Montepulciano Riserva,2.5,25-29,3,3,sv,sv,sv,2,sv,3,sv,sv,sv,sv
Tenuta Di Gracciano Della Seta,Vino Nobile Di Montepulciano Riserva,4.2,20-24,56,68,sv,5,5,4,sv,4,3,sv,sv,sv
Tenuta Di Gracciano Della Seta,Vino Nobile Di Montepulciano,3.7,15-19,31,50,4,4,4,4,3,3,sv,sv,sv,sv
Tenuta Santavenere,Vino Nobile Di Montepulciano Poderuccio,3.6,25-29,25,25,sv,4,4,3,3,4,sv,sv,sv,sv
Tenuta Santavenere,Vino Nobile Di Montepulciano Santavenere,2.8,15-19,10,16,sv,2,3,3,sv,3,3,sv,sv,sv
Tenuta Valdipiatta,Vino Nobile Di Montepulciano Vigna D'Alfiero,3.8,40-44,22,14,sv,4,4,4,sv,3,sv,sv,sv,sv
Tenuta Valdipiatta,Vino Nobile Di Montepulciano Riserva,3.0,40-44,7,4,3,3,sv,sv,sv,3,sv,sv,sv,sv
Tenuta Valdipiatta,Vino Nobile Di Montepulciano,3.0,20-24,14,17,3,3,3,3,3,3,sv,sv,sv,sv
Tenute Folonari,Vino Nobile Di Montepulciano Tor Calvano,2.0,10-14,1,2,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Tenute San Fabiano,Vino Nobile Di Montepulciano Poggio Uliveto,2.6,20-24,8,10,3,3,2,3,sv,2,sv,sv,sv,sv
Villa Sant'Anna,Vino Nobile Di Montepulciano,3.2,15-19,16,25,sv,sv,3,3,3,3,4,sv,sv,sv
Villa Sant'Anna,Vino Nobile Di Montepulciano Poldo,4.0,30-34,29,24,sv,sv,4,5,sv,3,sv,sv,sv,sv
