Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Marchesi Di Gresy,Barbaresco Martinenga Riserva Camp Gros,5.0,100-124,100,44,sv,sv,5,5,5,5,5,5,sv,sv
Marchesi Di Gresy,Barbaresco Martinenga Gaiun,3.8,80-84,37,22,sv,5,4,3,4,4,3,sv,sv,sv
Marchesi Di Gresy,Barbaresco Martinenga,2.8,50-54,8,8,sv,3,3,3,3,2,sv,sv,sv,sv
Marco E Vittorio Adriano,Barbaresco Riserva Basarin,4.2,40-44,46,54,sv,sv,4,5,sv,4,3,5,sv,sv
Marco E Vittorio Adriano,Barbaresco Basarin,3.2,30-34,15,23,3,3,3,4,3,3,sv,sv,sv,sv
Marco E Vittorio Adriano,Barbaresco Sanadaive,2.8,25-29,10,18,3,3,3,3,2,3,sv,sv,sv,sv
Massimo Rivetti,Barbaresco Serraboella Riserva,3.8,50-54,19,18,sv,sv,4,4,4,3,sv,sv,sv,sv
Massimo Rivetti,Barbaresco Froi,3.0,30-34,9,15,sv,3,3,3,3,3,sv,sv,sv,sv
Massimo Rivetti,Barbaresco,3.0,25-29,8,14,3,3,sv,sv,3,3,sv,sv,sv,sv
Michele Chiarlo,Barbaresco Asili,3.6,50-54,28,26,3,3,3,5,4,sv,sv,sv,sv,sv
Michele Chiarlo,Barbaresco Faset,2.8,40-44,8,10,3,2,3,3,3,sv,sv,sv,sv,sv
Michele Chiarlo,Barbaresco Reyna,3.0,35-39,6,8,sv,sv,3,sv,3,3,sv,sv,sv,sv
Michele Taliano,Barbaresco Montersino Ad Altiora,3.0,20-24,9,21,sv,3,3,3,3,sv,3,sv,sv,sv
Michele Taliano,Barbaresco Montersino Riserva Tera Mia,3.0,25-29,9,17,sv,sv,sv,sv,sv,3,3,3,3,3
Moccagatta,Barbaresco Bric Balin,3.5,40-44,30,35,5,3,3,4,3,3,sv,sv,sv,sv
Moccagatta,Barbaresco Cole,3.0,50-54,11,11,3,3,3,3,3,3,sv,sv,sv,sv
Moccagatta,Barbaresco,3.0,30-34,2,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
