Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2016,2015,2014,2013,2012,2011,2010,2006
Querce bettina,Brunello Riserva,4.0,75-79,0.31,05,sv,sv,sv,4,sv,sv,sv,sv
Quercecchio,Brunello,3.5,35-39,0.42,13,sv,sv,sv,sv,4,3,sv,sv
Quercecchio,Brunello Riserva,4.0,55-59,0.31,06,sv,sv,sv,sv,4,sv,sv,sv
Renieri,Brunello Riserva,4.0,50-54,0.63,14,sv,sv,sv,4,sv,sv,4,sv
Renieri,Brunello,3.0,50-54,0.11,02,sv,sv,sv,sv,sv,3,sv,sv
Roberto Cipresso,Brunello,4.7,65-69,2.19,37,5,5,4,sv,sv,sv,sv,sv
Ruffino,Brunello Greppone Mazzi,2.3,35-39,0.18,05,sv,sv,sv,2,2,3,sv,sv
Salvioni La Cerbaiola,Brunello,5.0,100-124,3.75,38,5,sv,sv,5,5,5,sv,sv
San Carlo,Brunello Riserva,5.0,80-84,0.94,13,sv,5,sv,sv,sv,sv,sv,sv
San Carlo,Brunello,3.8,40-44,1.68,45,4,4,4,4,3,4,sv,sv
San Lorenzo,Brunello Riserva Bramante,5.0,100-124,1.87,19,sv,5,sv,5,sv,sv,sv,sv
San Lorenzo,Brunello,3.0,50-54,0.11,02,3,sv,sv,sv,sv,sv,sv,sv
San Lorenzo,Brunello Bramante,4.4,35-39,2.82,86,sv,5,4,5,4,4,sv,sv
San Polo,Brunello Vignavecchia,5.0,300-349,2.81,10,5,5,sv,5,sv,sv,sv,sv
San Polo,Brunello Riserva,3.5,250-299,0.42,02,3,4,sv,sv,sv,sv,sv,sv
San Polo,Brunello Podernovi,3.5,125-149,0.42,03,3,4,sv,sv,sv,sv,sv,sv
San Polo,Brunello,3.3,45-49,1.05,25,3,3,3,3,4,4,sv,sv
Sensi,Brunello Officium Poggio Scudieri,3.0,25-29,0.11,04,3,sv,sv,sv,sv,sv,sv,sv
Sensi,Brunello Boscoselvo,3.0,25-29,0.11,04,sv,sv,sv,sv,3,sv,sv,sv
Sesti,Brunello Riserva Phenomena,4.8,90-94,4.06,50,sv,5,sv,5,4,5,5,sv
Sesti,Brunello,4.0,60-64,1.99,36,5,sv,3,4,4,4,sv,sv
Talenti,Brunello Riserva Pian Di Conte,4.5,75-79,2.92,43,sv,5,sv,5,5,3,sv,sv
Talenti,Brunello Piero,4.5,100-124,1.25,13,4,5,sv,sv,sv,sv,sv,sv
Talenti,Brunello,3.4,40-44,0.95,25,4,4,3,3,3,sv,sv,sv
Talenti,Brunello Trentennale,3.0,35-39,0.11,03,sv,sv,sv,sv,sv,3,sv,sv
Tenuta Buon Tempo,Brunello Riserva Oliveto P56,4.0,65-69,0.31,05,sv,4,sv,sv,sv,sv,sv,sv
Tenuta Buon Tempo,Brunello,3.0,40-44,0.11,03,3,sv,sv,sv,sv,sv,sv,sv
Tenuta Di Sesta,Brunello,3.0,40-44,0.78,21,4,3,3,3,3,2,sv,sv
Tenuta Di Sesta,Brunello Riserva Duelecci Ovest,3.6,80-84,1.16,16,3,3,sv,sv,4,4,4,sv
Tenuta Il Poggione,Brunello Riserva Vigna Paganelli,4.7,85-89,2.19,28,sv,5,sv,sv,5,sv,4,sv
Tenuta Il Poggione,Brunello,4.5,45-49,4.17,100,5,5,5,4,5,3,sv,sv
Tenuta La Fuga,Brunello,4.0,35-39,0.31,10,sv,sv,sv,sv,4,sv,sv,sv
Tenuta La Fuga,Brunello Riserva Le Due Sorelle,5.0,60-64,0.94,17,sv,sv,sv,sv,sv,5,sv,sv
Tenuta Le Potazzine,Brunello,4.3,75-79,3.55,52,4,5,5,3,4,5,sv,sv
Tenuta Le Potazzine,Brunello Riserva,5.0,150-174,0.94,07,sv,sv,sv,sv,sv,5,sv,sv
Tenuta San Giorgio,Brunello Ugolforte,4.8,45-49,4.06,97,5,5,5,5,sv,4,sv,sv
Tenute Folonari,Brunello La Fuga,3.5,35-39,1.39,42,sv,4,3,5,sv,2,sv,sv
Tenute Piccini,Brunello Villa Al Cortile,2.5,40-44,0.14,04,sv,3,sv,2,sv,sv,sv,sv
Tenute Piccini,Brunello Riserva Villa Al Cortile,3.0,40-44,0.11,03,sv,sv,sv,sv,3,sv,sv,sv
Tenute Silvio Nardi,Brunello Vigneto Manachiara,4.0,90-94,1.36,17,5,4,sv,sv,3,sv,sv,sv
Tenute Silvio Nardi,Brunello Vigneto Poggio Doria,4.3,90-94,1.57,19,4,5,sv,sv,4,sv,sv,sv
Tenute Silvio Nardi,Brunello,3.5,40-44,1.26,34,4,3,4,4,3,3,sv,sv
Tenute Silvio Nardi,Brunello Riserva Vigneto Poggio Doria,3.5,90-94,0.42,05,sv,sv,sv,sv,4,sv,3,sv
Terre Nere,Brunello Riserva Capriolo,4.0,100-124,0.31,03,sv,4,sv,sv,sv,sv,sv,sv
Terre Nere,Brunello Riserva,4.0,65-69,0.31,05,sv,4,sv,sv,sv,sv,sv,sv
Terre Nere,Brunello,4.0,45-49,0.31,08,4,sv,sv,sv,sv,sv,sv,sv
Tiezzi,Brunello Vigna Soccorso,4.5,55-59,3.75,74,5,4,4,5,4,5,sv,sv
Tiezzi,Brunello Riserva Vigna Soccorso,4.5,55-59,2.50,50,sv,4,sv,5,4,5,sv,sv
Tiezzi,Brunello Poggio Cerrino,3.2,35-39,0.85,26,3,3,3,3,4,3,sv,sv
Ventolaio,Brunello,3.0,45-49,0.11,03,sv,sv,sv,3,sv,sv,sv,sv
Villa Poggio Salvi,Brunello Pomona,3.6,85-89,1.16,15,4,3,sv,4,4,3,sv,sv
Villa Poggio Salvi,Brunello,3.0,30-34,0.64,22,3,3,3,3,3,3,sv,sv
Villa Poggio Salvi,Brunello Riserva,3.0,60-64,0.32,06,sv,sv,sv,sv,3,3,3,sv
