Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Brovia,Barolo Brovia,3.0,55-59,9,6,3,3,3,sv,3,3,sv,sv,sv,sv,sv,sv
Brovia,Barolo Garblet Sue,3.5,80-84,15,7,sv,3,4,sv,4,3,sv,sv,sv,sv,sv,sv
Brovia,Barolo Unio,4.0,70-74,6,3,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Bruna Grimaldi,Barolo Badarina,3.3,60-64,26,16,5,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Bruna Grimaldi,Barolo Bricco Ambrogio,3.5,50-54,30,22,3,5,3,4,3,3,sv,sv,sv,sv,sv,sv
Bruna Grimaldi,Barolo Camilla,3.0,35-39,11,12,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Bruna Grimaldi,Barolo Badarina Riserva,3.7,75-79,20,10,sv,sv,sv,sv,sv,3,5,3,sv,sv,sv,sv
Bruno Giacosa,Barolo Falletto,4.3,200-249,35,6,sv,5,sv,3,sv,5,sv,sv,sv,sv,sv,sv
Bruno Giacosa,Barolo Falletto Riserva Vigna Le Rocche,5.0,400-449,50,4,sv,sv,sv,5,sv,5,5,sv,sv,sv,sv,sv
Bruno Giacosa,Barolo Falletto Vigna Le Rocche,3.5,175-199,7,2,sv,sv,3,sv,4,sv,sv,sv,sv,sv,sv,sv
Bugia Nen,Barolo Cerretta,3.5,55-59,7,5,4,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Bugia Nen,Barolo Prapò,4.0,55-59,11,7,4,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Burlotto,Barolo Monvigliero,4.8,90-94,89,36,5,5,5,5,5,4,sv,sv,sv,sv,sv,sv
Burlotto,Barolo Cannubi,3.8,100-124,37,12,5,4,3,4,4,3,sv,sv,sv,sv,sv,sv
Burlotto,Barolo Acclivi,4.6,80-84,61,28,4,5,4,sv,5,5,sv,sv,sv,sv,sv,sv
Burlotto,Barolo,3.6,45-49,21,16,4,4,4,3,3,sv,sv,sv,sv,sv,sv,sv
Ca Viola,Barolo Sottocastello Di Novello,4.4,65-69,57,32,5,4,3,sv,5,5,sv,sv,sv,sv,sv,sv
Ca Viola,Barolo Caviot,3.0,45-49,6,5,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
