Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Brezza,Barolo,3.0,25-29,6,8,sv,sv,sv,3,3,3,sv,sv,sv,sv,sv,sv
Bricco Maiolica,Barolo Del Comune Di Diano Contadin,3.0,50-54,11,8,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Brovia,Barolo Rocche Di Castiglione,4.0,95-99,43,17,5,4,3,sv,3,5,sv,sv,sv,sv,sv,sv
Brovia,Barolo Villero,4.4,95-99,57,22,5,3,5,sv,5,4,sv,sv,sv,sv,sv,sv
Brovia,Barolo Brea Vigna Ca Mia,4.8,95-99,72,28,4,5,5,sv,5,5,sv,sv,sv,sv,sv,sv
Brovia,Barolo Brovia,3.0,55-59,9,6,3,3,3,sv,3,3,sv,sv,sv,sv,sv,sv
Brovia,Barolo Garblet Sue,3.5,80-84,15,7,sv,3,4,sv,4,3,sv,sv,sv,sv,sv,sv
Brovia,Barolo Unio,4.0,70-74,6,3,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Bugia Nen,Barolo Cerretta,3.5,55-59,7,5,4,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Bugia Nen,Barolo Prapò,4.0,55-59,11,7,4,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Burlotto,Barolo Monvigliero,4.8,90-94,89,36,5,5,5,5,5,4,sv,sv,sv,sv,sv,sv
Burlotto,Barolo Cannubi,3.8,100-124,37,12,5,4,3,4,4,3,sv,sv,sv,sv,sv,sv
Burlotto,Barolo Acclivi,4.6,80-84,61,28,4,5,4,sv,5,5,sv,sv,sv,sv,sv,sv
Burlotto,Barolo,3.6,45-49,21,16,4,4,4,3,3,sv,sv,sv,sv,sv,sv,sv
Ca Viola,Barolo Sottocastello Di Novello,4.4,65-69,57,32,5,4,3,sv,5,5,sv,sv,sv,sv,sv,sv
Ca Viola,Barolo Caviot,3.0,45-49,6,5,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Ca Viola,Barolo Riserva Sottocastello Di Novello,5.0,125-149,17,5,sv,sv,sv,sv,5,sv,sv,sv,sv,sv,sv,sv
Cagliero,Barolo Ravera,4.3,35-39,61,62,4,5,5,4,4,4,4,sv,sv,sv,sv,sv
Cagliero,Barolo Terlo,3.0,30-34,4,4,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
