Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Fattoria Paradiso,Romagna Sangiovese Superiore Vigna Del Molino,2.8,10-14,10,15,3,3,3,2,sv,sv,sv,sv,sv,sv
Fattoria Paradiso,Romagna Sangiovese Bertinoro Riserva Vigna Delle Lepri,2.7,25-29,7,5,sv,sv,sv,sv,sv,3,2,3,sv,sv
Fattoria Paradiso,Romagna Sangiovese Bertinoro Maestri Di Vigna,3.0,15-19,6,6,sv,sv,sv,sv,3,3,sv,sv,sv,sv
Fattoria Zerbina,Romagna Sangiovese Superiore Riserva Torre Di Ceparano,3.0,10-14,19,28,sv,sv,sv,sv,4,3,2,3,3,sv
Fattoria Zerbina,Romagna Sangiovese Superiore Poggio Vicchio,3.0,10-14,3,4,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Fattoria Zerbina,Romagna Sangiovese Superiore Ceregio Rosso,2.5,5-9,8,20,sv,3,3,2,sv,2,sv,sv,sv,sv
Fattoria Zerbina,Romagna Sangiovese Marzeno Superiore Riserva Pietramora,4.0,15-19,47,49,sv,sv,sv,sv,5,4,sv,4,3,sv
Ferrucci,Romagna Sangiovese Superiore Riserva Domus Caia,3.7,15-19,53,55,sv,sv,5,4,3,4,3,3,sv,sv
Ferrucci,Romagna Sangiovese Superiore Centurione,3.0,10-14,26,38,4,4,3,3,2,2,sv,sv,sv,sv
Ferrucci,Romagna Sangiovese Serra Legio,3.0,15-19,6,6,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Ferrucci,Romagna Sangiovese Auriga,3.0,5-9,6,15,sv,sv,sv,3,sv,3,sv,sv,sv,sv
