Produttore,Vino,Media Grezza,Media Pesata,Prezzo,2019,2018,2017,2016,2015,2014,2013,2012,2011
Castello di Radda,Chianti Classico Gran Selezione Il Corno,3.7,2.3,35-39,sv,sv,sv,sv,5,4,2,sv,sv
Castello di Volpaia,Chianti Classico Gran Selezione Coltassala,4.3,5.0,40-44,sv,4,5,4,4,sv,5,4,sv
Castello di Volpaia,Chianti Classico Gran Selezione Il Puro Vigneto Casanova,4.0,4.2,80-84,sv,sv,3,3,5,sv,4,5,sv
Castello di Volpaia,Chianti Classico Riserva Castello di Volpaia,3.0,1.4,25-29,sv,3,3,3,3,4,2,sv,sv
Castello di Volpaia,Chianti Classico Volpaia,2.3,0.6,15-19,3,2,2,2,3,2,sv,sv,sv
Castello la Leccia,Chianti Classico Riserva,3.4,2.4,25-29,sv,3,sv,5,3,3,sv,3,sv
Castello la Leccia,Chianti Classico Gran Selezione Bruciagna,3.0,0.6,40-44,sv,3,sv,sv,3,sv,3,sv,sv
Castello la Leccia,Chianti Classico,2.6,0.7,15-19,3,sv,3,2,2,sv,3,sv,sv
Castello Vicchiomaggio,Chianti Classico Gran Selezione La Prima,4.0,4.1,40-44,sv,sv,4,4,4,5,4,3,sv
Castello Vicchiomaggio,Chianti Classico Riserva Agostino Petri,2.8,1.0,25-29,sv,3,3,3,3,sv,3,2,sv
Castello Vicchiomaggio,Chianti Classico Guado Alto,2.5,0.5,15-19,3,3,2,2,sv,sv,sv,sv,sv
Castello Vicchiomaggio,Chianti Classico San Jacopo,2.7,0.4,15-19,sv,sv,3,sv,3,2,sv,sv,sv
Castello Vicchiomaggio,Chianti Classico Gran Selezione Le Bolle,4.0,0.6,85-89,sv,sv,sv,4,sv,sv,sv,sv,sv
Cecchi,Chianti Classico Gran Selezione Villa Rosa,4.8,5.0,40-44,sv,4,5,5,5,sv,sv,sv,sv
Cecchi,Chianti Classico Riserva Villa Cerna,2.8,1.0,30-34,sv,3,3,3,2,3,3,sv,sv
Cecchi,Chianti Classico Villa Rosa Ribaldoni,2.0,0.1,25-29,sv,sv,2,2,sv,sv,sv,sv,sv
Cecchi,Chianti Classico Villa Cerna Primocolle,2.5,0.3,15-19,sv,sv,sv,sv,3,2,sv,sv,sv
Cecchi,Chianti Classico Riserva Di Famiglia,3.0,0.2,25-29,sv,sv,sv,sv,sv,sv,3,sv,sv
Cinciano,Chianti Classico Gran Selezione,4.0,0.6,25-29,sv,sv,sv,4,sv,sv,sv,sv,sv
Cinciano,Chianti Classico Riserva,3.0,0.2,15-19,sv,sv,3,sv,sv,sv,sv,sv,sv
Cinciano,Chianti Classico,3.0,0.2,10-14,sv,3,sv,sv,sv,sv,sv,sv,sv
Cinciano,Chianti Classico Riserva Camponi,3.0,0.2,20-24,sv,sv,3,sv,sv,sv,sv,sv,sv
Dievole,Chianti Classico Riserva Novecento,2.8,0.8,25-29,sv,3,sv,3,3,3,2,sv,sv
Dievole,Chianti Classico Dievole,3.0,0.8,10-14,sv,3,sv,3,3,3,sv,sv,sv
Dievole,Chianti Classico Gran Selezione Vigna Di Sessina,3.0,0.6,40-44,sv,sv,sv,3,3,sv,sv,sv,3
Fattorie Casaloste,Chianti Classico Gran Selezione,3.0,0.8,40-44,sv,sv,sv,4,2,sv,sv,sv,3
Fattorie Casaloste,Chianti Classico Riserva,2.8,0.6,30-34,sv,sv,3,3,2,sv,sv,sv,3
Fattorie Casaloste,Chianti Classico,2.2,0.4,20-24,sv,3,2,2,2,2,sv,sv,sv
Fattorie Casaloste,Chianti Classico Gran Selezione Don Vincenzo,3.0,0.4,60-64,sv,sv,sv,sv,3,sv,3,sv,sv
Fattoria della Aiola,Chianti Classico Riserva,3.0,0.4,15-19,sv,sv,3,sv,3,sv,sv,sv,sv
Fattoria della Aiola,Chianti Classico Gran Selezione Cancello Rosso,3.0,0.2,25-29,sv,sv,3,sv,sv,sv,sv,sv,sv
Fattoria della Aiola,Chianti Classico,2.0,0.1,10-14,sv,2,sv,2,sv,sv,sv,sv,sv
Felsina,Chianti Classico Gran Selezione Colonia,4.5,4.4,85-89,sv,5,4,sv,sv,sv,4,sv,5
Felsina,Chianti Classico Riserva Rancia,3.6,2.8,30-34,sv,4,3,3,5,3,sv,sv,sv
Felsina,Chianti Classico Riserva Berardenga,2.6,0.7,20-24,sv,2,3,3,3,sv,2,sv,sv
Felsina,Chianti Classico Berardenga,2.6,0.7,15-19,sv,2,3,3,3,2,sv,sv,sv
