Produttore,Vino,Media Grezza,V Score,Prezzo,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Lornano,Chianti Classico Riserva,2.0,0.04,20-24,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Losi Querciavalle,Chianti Classico Gran Selezione Losi Millennium,3.3,0.63,25-29,sv,sv,sv,sv,sv,sv,3,3,4,3
Losi Querciavalle,Chianti Classico Querciavalle,2.8,0.46,10-14,sv,sv,3,3,3,sv,3,2,sv,sv
Losi Querciavalle,Chianti Classico Riserva Querciavalle,3.8,2.19,20-24,sv,sv,sv,3,5,sv,5,3,3,sv
Marchesi Antinori,Chianti Classico Gran Selezione Badia a Passignano,3.7,1.47,35-39,sv,3,4,4,4,sv,sv,4,3,sv
Marchesi Antinori,Chianti Classico Riserva Marchese Antinori,3.2,0.85,30-34,sv,3,3,4,3,3,3,sv,sv,sv
Marchesi Antinori,Chianti Classico Peppoli,2.3,0.36,15-19,3,2,2,2,3,2,sv,sv,sv,sv
Marchesi Antinori,Chianti Classico Riserva Villa Antinori,2.5,0.29,20-24,sv,sv,3,3,2,sv,2,sv,sv,sv
Monteraponi,Chianti Classico Riserva Il Campitello,4.5,4.17,50-54,sv,5,5,5,5,4,3,sv,sv,sv
Monteraponi,Chianti Classico Baron Ugo,3.5,0.42,40-44,sv,sv,3,sv,sv,4,sv,sv,sv,sv
Monteraponi,Chianti Classico,2.8,0.46,25-29,3,3,sv,3,3,2,sv,sv,sv,sv
Nittardi,Chianti Classico Riserva Nittardi,2.8,0.36,35-39,sv,2,sv,3,3,sv,3,sv,sv,sv
Nittardi,Chianti Classico Casanuova Di Nittardi Vigna Doghessa,2.2,0.29,15-19,2,2,3,2,2,2,sv,sv,sv,sv
Nittardi,Chianti Classico Belcanto,2.3,0.22,15-19,2,sv,2,sv,3,2,sv,sv,sv,sv
Ormanni,Chianti Classico Riserva Borro Del Diavolo,4.8,4.06,20-24,sv,sv,5,4,5,sv,5,5,sv,sv
Ormanni,Chianti Classico Ormanni,2.6,0.39,10-14,sv,3,3,3,2,2,sv,sv,sv,sv
Ormanni,Chianti Classico Gran Selezione Etichetta Storica,3.7,1.15,25-29,sv,sv,sv,3,5,sv,sv,3,sv,sv
Ormanni,Chianti Classico Gran Selezione Etichetta Storica Dugentanni,4.0,0.31,45-49,sv,sv,sv,sv,sv,sv,4,sv,sv,sv
Panzanello,Chianti Classico Riserva 1427,4.5,1.25,40-44,sv,5,sv,4,sv,sv,sv,sv,sv,sv
Panzanello,Chianti Classico Panzanello,3.0,0.21,15-19,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Panzanello,Chianti Classico 1427,3.0,0.21,25-29,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Podere Poggio Scalette,Chianti Classico Poggio Scalette,2.8,0.60,15-19,3,4,3,sv,2,2,sv,sv,sv,sv
Poggio Bonelli,Chianti Classico,2.3,0.22,10-14,sv,2,sv,sv,3,2,2,sv,sv,sv
Poggio Bonelli,Chianti Classico Riserva,2.8,0.36,20-24,sv,sv,3,2,3,sv,3,sv,sv,sv
Querceto Di Castellina,Chianti Classico Gran Selezione Sei,3.0,0.78,40-44,sv,4,3,3,2,sv,3,3,sv,sv
Querceto Di Castellina,Chianti Classico L'Aura,3.0,0.64,15-19,3,3,3,3,3,3,sv,sv,sv,sv
Querciabella,Chianti Classico Riserva,3.0,0.67,40-44,sv,3,3,2,3,sv,4,sv,sv,sv
Querciabella,Chianti Classico,2.0,0.18,25-29,2,2,2,2,sv,2,sv,sv,sv,sv
Ricasoli,Chianti Classico Gran Selezione Ceniprimo,4.0,1.36,50-54,sv,5,4,3,sv,sv,sv,sv,sv,sv
Ricasoli,Chianti Classico Gran Selezione Colledila,3.8,2.19,50-54,sv,5,5,3,3,sv,3,sv,sv,sv
Ricasoli,Chianti Classico Gran Selezione Castello Di Brolio,4.3,2.30,45-49,sv,4,sv,5,3,sv,5,sv,sv,sv
Ricasoli,Chianti Classico Gran Selezione Roncicone,4.0,0.94,50-54,sv,4,4,4,sv,sv,sv,sv,sv,sv
Ricasoli,Chianti Classico Brolio Bettino,3.0,0.43,15-19,sv,3,3,sv,3,sv,3,sv,sv,sv
Ricasoli,Chianti Classico Brolio,2.4,0.32,10-14,sv,3,2,2,2,3,sv,sv,sv,sv
Ricasoli,Chianti Classico Riserva Rocca Guicciarda,2.5,0.14,10-14,sv,sv,2,sv,sv,sv,3,sv,sv,sv
Ricasoli,Chianti Classico Riserva Brolio,2.6,0.39,20-24,sv,sv,3,2,2,3,3,sv,sv,sv
Riecine,Chianti Classico Riserva,4.3,1.57,40-44,sv,5,4,sv,4,sv,sv,sv,sv,sv
Riecine,Chianti Classico,3.0,0.64,25-29,3,3,3,3,3,3,sv,sv,sv,sv
Rocca delle Macie,Chianti Classico Gran Selezione Sergio Zingarelli,4.0,3.27,60-64,sv,sv,5,5,4,3,5,2,sv,sv
Rocca delle Macie,Chianti Classico Gran Selezione Riserva Di Fizzano,3.6,1.57,30-34,sv,3,sv,4,5,3,3,sv,sv,sv
Rocca delle Macie,Chianti Classico Riserva Ser Gioveto,3.0,0.32,25-29,sv,3,sv,3,3,sv,sv,sv,sv,sv
Rocca delle Macie,Chianti Classico Riserva Famiglia Zingarelli,3.3,1.05,20-24,sv,3,3,3,4,3,4,sv,sv,sv
Rocca delle Macie,Chianti Classico Tenuta Sant'Alfonso,2.7,0.50,15-19,2,3,3,2,3,3,sv,sv,sv,sv
Rocca delle Macie,Chianti Classico Famiglia Zingarelli,1.8,0.15,15-19,2,2,2,2,sv,1,sv,sv,sv,sv
Rocca di Castagnoli,Chianti Classico Gran Selezione Stielle,3.3,0.53,35-39,sv,sv,3,sv,4,3,sv,sv,sv,sv
Rocca di Castagnoli,Chianti Classico Riserva Capraia,3.0,0.21,25-29,sv,3,sv,sv,3,sv,sv,sv,sv,sv
Rocca di Castagnoli,Chianti Classico,2.2,0.25,15-19,2,2,sv,2,3,2,sv,sv,sv,sv
Rocca di Castagnoli,Chianti Classico Tempi,5.0,0.94,150-174,sv,sv,sv,sv,sv,sv,5,sv,sv,sv
Rocca di Castagnoli,Chianti Classico Riserva Poggio A'Frati,2.0,0.11,20-24,sv,sv,sv,2,2,sv,2,sv,sv,sv
Rocca di Castagnoli,Chianti Classico Capraia,2.0,0.04,15-19,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Rocca di Castagnoli,Chianti Classico Gran Selezione Effe 55,3.0,0.11,35-39,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
Rocca di Montegrossi,Chianti Classico Gran Selezione Vigneto San Marcellino,3.8,1.05,40-44,sv,sv,sv,4,3,4,sv,4,sv,sv
Rocca di Montegrossi,Chianti Classico,2.3,0.36,15-19,2,2,3,2,2,3,sv,sv,sv,sv
